	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
18	Dragonball	Bahirij		Bombay Beats		World	4458083	274			9.0	19.0	2004.0	8/24/06, 12:57 PM	7/3/08, 10:06 PM	128	44100		AAC audio file							20.0
19	11th Ave Freakout Pt 1	Odd Nosdam		Burner		Electronica	2468602	150			6.0	12.0	2005.0	2/11/09, 9:10 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							20.0
20	Hate It Or Love It (Remix) (Feat. G-Unit)	50 Cent		Rap Single		Rap	4225024	263			20.0		2005.0	10/18/05, 3:51 PM	7/3/08, 10:06 PM	128	44100		MPEG audio file			1.0	3/10/14, 11:13 AM			20.0
21	Outer Spaceways Inc - Original	Sun Ra	Sun Ra	The Solar-Myth Approach Vol. 1 & 2 CD2		Jazz	1955808	81	1.0	1.0	2.0	7.0	2006.0	4/19/11, 3:08 PM	5/4/11, 7:13 PM	192	44100		MPEG audio file			1.0	8/3/13, 6:46 AM			20.0
22	Free Your Mind (On The Floor)	Benny Benassi Feat. Farenheit		Rock N Rave		House	7744971	319			9.0		2008.0	1/27/09, 3:06 PM	1/27/09, 3:47 PM	194	44100		MPEG audio file		www.torrentazos.com			1.0	1/27/09, 5:43 PM	20.0
23	Everybody Everybody	Black Box Vs. Benny Benassi		Rock N Rave		House	11316957	445			13.0		2008.0	1/27/09, 3:03 PM	1/27/09, 3:47 PM	203	44100		MPEG audio file		www.torrentazos.com					20.0
24	Love Me Or Hate Me	Lil Wayne		Tha Carter III (Bonus Disc)		Rap	7587417	241			4.0	5.0	2008.0	3/11/14, 6:29 PM	2/7/09, 8:37 PM	256	44100		AAC audio file							20.0
25	Later Is Now	Devo		Something For Everybody		Rock	7672466	232	1.0	1.0	10.0	12.0	2010.0	6/17/10, 12:33 AM	6/17/10, 4:30 PM	262	44100		MPEG audio file							20.0
26	The Popular Thing	Jukebox The Ghost		Everything Under the Sun		Indie Rock	7791853	223			11.0		2010.0	3/11/14, 3:44 PM	7/27/10, 10:38 PM	267	44100		MPEG audio file							20.0
27	8 Gega	Praed		The Wire Tapper 27		Alternative	8129662	247	1.0	1.0	3.0	20.0	2011.0	5/18/12, 1:32 PM	5/18/12, 1:31 PM	256	44100		AAC audio file							20.0
